Device_ID,State_of_Health_%,Cycle_Count,Charge_%,Charge_Current,SW_Version
902,1,2,84,644,V10.2.1
902,1,2,85,644,V10.2.1
902,1,2,86,644,V10.2.1
902,1,2,87,644,V10.2.1
902,1,2,88,653,V10.2.1
902,1,2,89,653,V10.2.1
902,1,2,90,653,V10.2.1
902,1,2,91,605,V10.2.1
902,1,2,92,512,V10.2.1
902,1,2,93,448,V10.2.1
902,1,2,94,380,V10.2.1
902,1,2,95,312,V10.2.1
902,1,2,96,263,V10.2.1
902,1,2,97,204,V10.2.1
902,1,2,98,146,V10.2.1
902,1,2,99,97,V10.2.1
902,1,2,100,29,V10.2.1
1632,1,11,1,1171,V10.2.1
1632,1,11,2,1171,V10.2.1
1632,1,11,3,1171,V10.2.1
1632,1,11,4,1171,V10.2.1
1632,1,11,5,1171,V10.2.1
1632,1,11,6,1117,V10.2.1
1632,1,11,7,1005,V10.2.1
1632,1,11,8,1005,V10.2.1
1632,1,11,9,1005,V10.2.1
1632,1,11,10,1005,V10.2.1
1632,1,11,11,1005,V10.2.1
1632,1,11,12,1005,V10.2.1
1632,1,11,13,1005,V10.2.1
1632,1,11,14,1015,V10.2.1
1632,1,11,15,1015,V10.2.1
1632,1,11,16,1015,V10.2.1
1632,1,11,17,1015,V10.2.1
1632,1,11,18,1015,V10.2.1
1632,1,11,19,1015,V10.2.1
1632,1,11,20,1015,V10.2.1
1632,1,11,21,1015,V10.2.1
1632,1,11,22,1024,V10.2.1
1632,1,11,23,1024,V10.2.1
1632,1,11,24,1024,V10.2.1
1632,1,11,25,1024,V10.2.1
1632,1,11,26,1024,V10.2.1
1632,1,11,27,1024,V10.2.1
1632,1,11,28,1024,V10.2.1
1632,1,11,29,1024,V10.2.1
1632,1,11,30,1024,V10.2.1
1632,1,11,31,1024,V10.2.1
1632,1,11,32,1024,V10.2.1
1632,1,11,33,1024,V10.2.1
1632,1,11,34,1024,V10.2.1
1632,1,11,35,1024,V10.2.1
1632,1,11,36,1024,V10.2.1
1632,1,11,37,1034,V10.2.1
1632,1,11,38,1034,V10.2.1
1632,1,11,39,1034,V10.2.1
1632,1,11,40,1044,V10.2.1
1632,1,11,41,1034,V10.2.1
1632,1,11,42,1044,V10.2.1
1632,1,11,43,1044,V10.2.1
1632,1,11,44,1044,V10.2.1
1632,1,11,45,1044,V10.2.1
1632,1,11,46,1044,V10.2.1
1632,1,11,47,1044,V10.2.1
1632,1,11,48,1044,V10.2.1
1632,1,11,49,1044,V10.2.1
1632,1,11,50,1054,V10.2.1
1632,1,11,51,1054,V10.2.1
1632,1,11,52,1054,V10.2.1
1632,1,11,53,1054,V10.2.1
1632,1,11,54,1054,V10.2.1
1632,1,11,55,1054,V10.2.1
1632,1,11,56,1054,V10.2.1
1632,1,11,57,1044,V10.2.1
1632,1,11,58,995,V10.2.1
1632,1,11,59,946,V10.2.1
1632,1,11,60,897,V10.2.1
1632,1,11,61,849,V10.2.1
1632,1,11,62,800,V10.2.1
1632,1,11,63,780,V10.2.1
1632,1,11,64,780,V10.2.1
1632,1,11,65,780,V10.2.1
1632,1,11,66,780,V10.2.1
1632,1,11,67,790,V10.2.1
1632,1,11,68,790,V10.2.1
1632,1,11,69,790,V10.2.1
1632,1,11,70,790,V10.2.1
1632,1,11,71,790,V10.2.1
1632,1,11,72,800,V10.2.1
1632,1,11,73,800,V10.2.1
1632,1,11,74,761,V10.2.1
1632,1,11,75,692,V10.2.1
1632,1,11,76,634,V10.2.1
1632,1,11,77,634,V10.2.1
1632,1,11,78,644,V10.2.1
1632,1,11,79,644,V10.2.1
1632,1,11,80,644,V10.2.1
1632,1,11,81,663,V10.2.1
1632,1,11,82,692,V10.2.1
1632,1,11,83,1542,V10.2.1
1632,1,11,84,653,V10.2.1
1632,1,11,85,653,V10.2.1
1632,1,11,86,653,V10.2.1
1632,1,11,87,653,V10.2.1
1632,1,11,88,653,V10.2.1
1632,1,11,89,653,V10.2.1
1632,1,11,90,561,V10.2.1
1632,1,11,91,488,V10.2.1
1632,1,11,92,414,V10.2.1
1632,1,11,93,331,V10.2.1
1632,1,11,94,273,V10.2.1
1632,1,11,95,214,V10.2.1
1632,1,11,96,156,V10.2.1
1632,1,11,97,117,V10.2.1
